transcript	gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
TCONS_00000151	XLOC_000150	-	Pre	Post	10.39	DOWN	73075.04	0.00719642	
EKC38373	CGI_10021746	.	Pre	Post	7.38	DOWN	15907.68	0.00719642	
TCONS_00059114	XLOC_028369	-	Pre	Post	3.51	DOWN	9471.62	0.0127885	
TCONS_00056889	XLOC_027306	-	Pre	Post	6.06	DOWN	7890.30	0.00719642	
TCONS_00009938	XLOC_005260	-	Pre	Post	7.58	UP	5938.99	0.00719642	
TCONS_00056778	XLOC_027247	-	Pre	Post	26.46	DOWN	4302.28	0.00719642	
CUFF.27309.3	CGI_10020701	.	Pre	Post	239.95	DOWN	4258.40	0.00719642	
EKC29329	CGI_10009812	.	Pre	Post	4.85	DOWN	4234.84	0.00719642	
EKC28175	CGI_10014343	.	Pre	Post	29.50	DOWN	3226.38	0.00719642	
TCONS_00045863	XLOC_022472	CGI_10018576	Pre	Post	3.15	UP	3144.84	0.0386115	
EKC42633	CGI_10026703	.	Pre	Post	37.14	UP	3040.77	0.00719642	
TCONS_00059502	XLOC_028552	-	Pre	Post	31.00	DOWN	2830.35	0.00719642	
TCONS_00068144	XLOC_032537	-	Pre	Post	260.76	DOWN	2614.87	0.00719642	
CUFF.4078.2	CGI_10024280	.	Pre	Post	11.30	UP	2405.76	0.00719642	
EKC22243	CGI_10002594	.	Pre	Post	224.07	UP	2390.25	0.00719642	
EKC30759	CGI_10021660	GF2	Pre	Post	4.11	UP	2331.22	0.00719642	
CUFF.16353.6	CGI_10026868	.	Pre	Post	17.21	UP	2029.18	0.00719642	
TCONS_00041566	XLOC_020476	CGI_10002949	Pre	Post	29.29	UP	1880.68	0.0220033	
TCONS_00012687	XLOC_006550	-	Pre	Post	5.71	DOWN	1847.08	0.00719642	
EKC25774	CGI_10007887	.	Pre	Post	6.88	DOWN	1749.22	0.00719642	
EKC40045	CGI_10011375	.	Pre	Post	5.36	UP	1731.85	0.00719642	
TCONS_00028214	XLOC_013978	CGI_10021893	Pre	Post	7.38	DOWN	1609.87	0.00719642	
CUFF.27346.1	CGI_10012042	.	Pre	Post	5.36	UP	1545.20	0.00719642	
EKC34380	CGI_10017683	.	Pre	Post	12.91	UP	1427.90	0.00719642	
TCONS_00022468	XLOC_011329	-	Pre	Post	4.52	DOWN	1303.28	0.00719642	
EKC35183	CGI_10009495	.	Pre	Post	3.44	UP	1300.06	0.0220033	
CUFF.27301.3	CGI_10020694	.	Pre	Post	4.20	DOWN	1262.22	0.00719642	
TCONS_00073022	XLOC_034766	-	Pre	Post	9.10	DOWN	1084.72	0.00719642	
CUFF.11742.1	CGI_10023724	PUTHMG	Pre	Post	12.05	UP	1016.11	0.00719642	
EKC34381	CGI_10017684	.	Pre	Post	18.37	UP	1016.11	0.00719642	
CUFF.6057.3	CGI_10001497	.	Pre	Post	43.13	DOWN	940.57	0.00719642	
TCONS_00062545	XLOC_029904	-	Pre	Post	4.53	UP	919.61	0.00719642	
CUFF.24246.2	CGI_10009568	.	Pre	Post	10.94	UP	897.35	0.0356942	
TCONS_00017682	XLOC_009052	28S_rRNA	Pre	Post	8.61	UP	882.32	0.0260753	
TCONS_00006455	XLOC_003640	-	Pre	Post	10.58	DOWN	835.75	0.00719642	
CUFF.7428.1	CGI_10010476	.	Pre	Post	3.98	UP	815.02	0.0329148	
EKC38550	CGI_10017107	.	Pre	Post	18.20	DOWN	804.68	0.0260753	
TCONS_00033843	XLOC_016477	-	Pre	Post	9.57	UP	723.90	0.00719642	
TCONS_00042218	XLOC_020806	-	Pre	Post	11.89	UP	711.26	0.00719642	
TCONS_00000932	XLOC_000817	-	Pre	Post	4.22	DOWN	687.09	0.0180341	
TCONS_00070527	XLOC_033611	CGI_10013165	Pre	Post	10.28	DOWN	682.10	0.00719642	
TCONS_00006744	XLOC_003774	CGI_10010646	Pre	Post	116.78	UP	675.77	0.0447988	
TCONS_00033604	XLOC_016369	-	Pre	Post	23.70	DOWN	667.72	0.00719642	
CUFF.23854.2	CGI_10018772	.	Pre	Post	8.17	DOWN	667.26	0.00719642	
TCONS_00073023	XLOC_034767	-	Pre	Post	9.48	DOWN	646.52	0.00719642	
CUFF.14428.1	CGI_10011110	.	Pre	Post	4.66	DOWN	622.00	0.00719642	
TCONS_00001472	XLOC_001204	-	Pre	Post	3.20	UP	619.58	0.0356942	
CUFF.18649.1	CGI_10006236	.	Pre	Post	6.46	UP	607.94	0.00719642	
EKC17950	CGI_10000009	.	Pre	Post	23.25	UP	602.33	0.00719642	
CUFF.18576.5	CGI_10006075	.	Pre	Post	14.15	DOWN	596.75	0.00719642	
TCONS_00010689	XLOC_005617	-	Pre	Post	6.42	UP	587.42	0.00719642	
CUFF.20508.3	CGI_10010153	.	Pre	Post	3.38	DOWN	583.71	0.0220033	
CUFF.12967.5	CGI_10018988	.	Pre	Post	6.63	DOWN	567.69	0.00719642	
CUFF.18831.2	CGI_10006482	.	Pre	Post	4.08	UP	557.79	0.0127885	
TCONS_00020205	XLOC_010226	-	Pre	Post	14.69	DOWN	531.94	0.00719642	
EKC40046	CGI_10011376	.	Pre	Post	97.71	UP	528.85	0.00719642	
TCONS_00068755	XLOC_032828	-	Pre	Post	6.76	DOWN	527.82	0.00719642	
TCONS_00000124	XLOC_000124	-	Pre	Post	3.65	UP	512.89	0.00719642	
TCONS_00005312	XLOC_003098	CGI_10016546	Pre	Post	12.44	UP	510.58	0.0127885	
EKC20839	CGI_10005238	.	Pre	Post	3.23	DOWN	508.45	0.00719642	
EKC28948	CGI_10012792	.	Pre	Post	11.34	DOWN	487.01	0.00719642	
CUFF.3650.3	CGI_10023836	.	Pre	Post	13.57	DOWN	472.20	0.0220033	
CUFF.22864.3	CGI_10019266	.	Pre	Post	3.21	DOWN	449.00	0.00719642	
CUFF.27335.1	CGI_10011244	.	Pre	Post	5.97	DOWN	438.72	0.00719642	
EKC37831	CGI_10017654	.	Pre	Post	4.57	DOWN	433.10	0.00719642	
EKC17653	CGI_10000402	.	Pre	Post	4.29	UP	420.67	0.00719642	
CUFF.24037.3	CGI_10023636	.	Pre	Post	12.03	DOWN	411.96	0.00719642	
EKC27007	CGI_10001573	.	Pre	Post	28.05	DOWN	401.39	0.00719642	
TCONS_00001957	XLOC_001512	CGI_10001432	Pre	Post	22.75	DOWN	381.90	0.00719642	
CUFF.25842.3	CGI_10008415	.	Pre	Post	6.41	DOWN	379.27	0.0329148	
TCONS_00016478	XLOC_008478	CGI_10000602	Pre	Post	5.43	UP	378.30	0.00719642	
EKC18514	CGI_10012025	.	Pre	Post	3.61	UP	374.43	0.0356942	
TCONS_00068664	XLOC_032785	HSP68	Pre	Post	155.89	UP	373.66	0.00719642	
EKC39763	CGI_10015808	.	Pre	Post	8.65	UP	368.80	0.00719642	
TCONS_00038461	XLOC_018897	-	Pre	Post	6.72	UP	356.84	0.00719642	
CUFF.12221.2	CGI_10007551	.	Pre	Post	5.61	DOWN	351.01	0.0220033	
TCONS_00002807	XLOC_001901	-	Pre	Post	6.06	UP	343.52	0.00719642	
CUFF.3052.3	CGI_10023473	.	Pre	Post	15.29	UP	339.96	0.00719642	
CUFF.28393.2	CGI_10027652	.	Pre	Post	7.11	DOWN	336.34	0.00719642	
CUFF.15781.2	CGI_10002657	.	Pre	Post	43.95	DOWN	326.25	0.00719642	
EKC17704	CGI_10000321	.	Pre	Post	5.76	DOWN	321.68	0.00719642	
EKC42878	CGI_10028845	.	Pre	Post	6.63	DOWN	318.18	0.0386115	
EKC42745	CGI_10021357	.	Pre	Post	5.13	DOWN	309.99	0.00719642	
EKC40727	CGI_10020607	.	Pre	Post	15.41	DOWN	309.33	0.00719642	
CUFF.7810.1	CGI_10015075	.	Pre	Post	3.00	UP	307.53	0.0127885	
TCONS_00031879	XLOC_015524	-	Pre	Post	14.81	UP	306.96	0.00719642	
CUFF.10655.1	CGI_10026316	.	Pre	Post	11.80	DOWN	303.81	0.00719642	
CUFF.21246.3	CGI_10013106	.	Pre	Post	5.09	DOWN	302.84	0.0127885	
EKC37980	CGI_10025560	.	Pre	Post	3.94	DOWN	296.07	0.00719642	
CUFF.17210.4	CGI_10004110	.	Pre	Post	3.77	DOWN	288.32	0.00719642	
CUFF.25415.2	CGI_10001245	.	Pre	Post	11.42	UP	281.65	0.00719642	
CUFF.17870.3	CGI_10005101	.	Pre	Post	7.12	UP	279.19	0.0356942	
CUFF.22822.2	CGI_10016017	.	Pre	Post	7.11	DOWN	267.41	0.00719642	
EKC33408	CGI_10018227	.	Pre	Post	4.98	DOWN	260.82	0.0329148	
TCONS_00031770	XLOC_015474	-	Pre	Post	4.46	DOWN	260.52	0.00719642	
CUFF.2974.1	CGI_10015378	.	Pre	Post	6.35	UP	258.51	0.0260753	
CUFF.1476.2	CGI_10025006	.	Pre	Post	6.41	DOWN	257.78	0.00719642	
CUFF.3182.1	CGI_10007793	.	Pre	Post	10.88	DOWN	255.91	0.00719642	
EKC19918	CGI_10007261	.	Pre	Post	26.36	UP	253.09	0.0419165	
CUFF.17728.1	CGI_10004863	.	Pre	Post	4.95	DOWN	248.98	0.0447988	
EKC28748	CGI_10005421	.	Pre	Post	32.70	DOWN	236.82	0.00719642	
TCONS_00053377	XLOC_025786	CGI_10009829	Pre	Post	3.96	DOWN	229.50	0.00719642	
TCONS_00008758	XLOC_004728	-	Pre	Post	9.57	DOWN	227.86	0.00719642	
TCONS_00031274	XLOC_015257	-	Pre	Post	7.29	DOWN	226.95	0.00719642	
CUFF.12619.2	CGI_10025111	.	Pre	Post	7.15	DOWN	223.42	0.00719642	
TCONS_00056887	XLOC_027304	-	Pre	Post	6.06	DOWN	216.81	0.00719642	
CUFF.20641.1	CGI_10010713	.	Pre	Post	2.92	DOWN	215.69	0.00719642	
EKC23535	CGI_10007955	.	Pre	Post	6.07	UP	215.63	0.00719642	
EKC17383	CGI_10000947	.	Pre	Post	14.54	DOWN	214.88	0.00719642	
CUFF.10343.1	CGI_10007559	.	Pre	Post	3.82	UP	213.91	0.00719642	
TCONS_00004247	XLOC_002552	-	Pre	Post	16.87	DOWN	204.88	0.00719642	
CUFF.24612.1	CGI_10015398	.	Pre	Post	3.42	DOWN	200.83	0.00719642	
CUFF.22206.2	CGI_10001592	.	Pre	Post	26.11	UP	195.31	0.00719642	
TCONS_00003294	XLOC_002121	-	Pre	Post	7.46	UP	194.17	0.029599	
TCONS_00075215	XLOC_035788	CGI_10013316	Pre	Post	9.67	DOWN	192.15	0.0220033	
TCONS_00039846	XLOC_019594	CGI_10002248	Pre	Post	3.58	UP	190.35	0.0127885	
EKC37137	CGI_10028370	.	Pre	Post	3.04	DOWN	187.21	0.0127885	
TCONS_00027172	XLOC_013528	-	Pre	Post	8.72	DOWN	185.78	0.00719642	
EKC28751	CGI_10005424	.	Pre	Post	4.99	DOWN	184.10	0.00719642	
CUFF.28597.1	CGI_10017169	.	Pre	Post	2.90	UP	183.39	0.00719642	
CUFF.24294.1	CGI_10021733	.	Pre	Post	7.73	DOWN	183.13	0.00719642	
EKC36393	CGI_10001592	.	Pre	Post	27.68	UP	170.81	0.00719642	
TCONS_00013573	XLOC_007003	-	Pre	Post	3.75	DOWN	170.61	0.029599	
EKC42449	CGI_10016363	.	Pre	Post	31.37	DOWN	166.92	0.00719642	
EKC17926	CGI_10000038	.	Pre	Post	12.98	DOWN	161.10	0.00719642	
TCONS_00031942	XLOC_015550	-	Pre	Post	4.51	DOWN	158.51	0.00719642	
