ContigID	term	GOSlim_bin	aspect	ProteinName
Haliotis_kam_contig1494	reproduction	other biological processes	P	40S ribosomal protein S12
Haliotis_kam_contig2880	reproduction	other biological processes	P	14-3-3-like protein 2
Haliotis_kam_contig3389	reproduction	other biological processes	P	14-3-3-like protein 2
Haliotis_kam_contig3529	reproduction	other biological processes	P	Transcription factor BTF3 homolog (Inhibitor of cell death 1)
Haliotis_kam_contig355	reproduction	other biological processes	P	60S ribosomal protein L7
Haliotis_kam_contig3907	reproduction	other biological processes	P	40S ribosomal protein S7
Haliotis_kam_contig6977	reproduction	other biological processes	P	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
Haliotis_kam_contig8389	reproduction	other biological processes	P	60S ribosomal protein L44 (L41)
Haliotis_kam_contig879	reproduction	other biological processes	P	Spliceosome RNA helicase DDX39B homolog (EC 3.6.4.13) (DEAD box protein UAP56)
Haliotis_kam_contig6304	vacuole inheritance	cell organization and biogenesis	P	Thioredoxin-1 (Thioredoxin I) (TR-I) (Thioredoxin-2)
Haliotis_kam_contig239	mitotic spindle elongation	cell cycle and proliferation	P	Elongation factor 2 (EF-2)
Haliotis_kam_contig239	mitotic spindle elongation	cell organization and biogenesis	P	Elongation factor 2 (EF-2)
Haliotis_kam_contig296	mitotic spindle elongation	cell cycle and proliferation	P	60S ribosomal protein L9
Haliotis_kam_contig296	mitotic spindle elongation	cell organization and biogenesis	P	60S ribosomal protein L9
Haliotis_kam_contig346	mitotic spindle elongation	cell cycle and proliferation	P	26S protease regulatory subunit 4 (P26s4)
Haliotis_kam_contig346	mitotic spindle elongation	cell organization and biogenesis	P	26S protease regulatory subunit 4 (P26s4)
Haliotis_kam_contig3509	mitotic spindle elongation	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Proteasome subunit p39B) (Proteasome subunit p40) (Protein Mov34)
Haliotis_kam_contig3509	mitotic spindle elongation	cell organization and biogenesis	P	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Proteasome subunit p39B) (Proteasome subunit p40) (Protein Mov34)
Haliotis_kam_contig37	mitotic spindle elongation	cell cycle and proliferation	P	60S ribosomal protein L23 (L17A)
Haliotis_kam_contig37	mitotic spindle elongation	cell organization and biogenesis	P	60S ribosomal protein L23 (L17A)
Haliotis_kam_contig4908	mitotic spindle elongation	cell cycle and proliferation	P	60S ribosomal protein L8
Haliotis_kam_contig4908	mitotic spindle elongation	cell organization and biogenesis	P	60S ribosomal protein L8
Haliotis_kam_contig5822	mitotic spindle elongation	cell cycle and proliferation	P	26S protease regulatory subunit 4 (P26s4)
Haliotis_kam_contig5822	mitotic spindle elongation	cell organization and biogenesis	P	26S protease regulatory subunit 4 (P26s4)
Haliotis_kam_contig5951	mitotic spindle elongation	cell cycle and proliferation	P	Elongation factor 2 (EF-2)
Haliotis_kam_contig5951	mitotic spindle elongation	cell organization and biogenesis	P	Elongation factor 2 (EF-2)
Haliotis_kam_contig6173	mitotic spindle elongation	cell cycle and proliferation	P	60S ribosomal protein L8
Haliotis_kam_contig6173	mitotic spindle elongation	cell organization and biogenesis	P	60S ribosomal protein L8
Haliotis_kam_contig69	mitotic spindle elongation	cell cycle and proliferation	P	60S ribosomal protein L3
Haliotis_kam_contig69	mitotic spindle elongation	cell organization and biogenesis	P	60S ribosomal protein L3
Haliotis_kam_contig7282	mitotic spindle elongation	cell cycle and proliferation	P	60S ribosomal protein L10 (QM protein homolog) (dQM)
