Haliotis_kam_contig3642	autophagic vacuole formation	stress response	P	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)
Haliotis_kam_contig1478	DNA damage checkpoint	stress response	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig6762	response to reactive oxygen species	stress response	P	Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.-) (Antioxidant protein 2) (Ciliary body glutathione peroxidase) (Non-selenium glutathione peroxidase) (NSGPx) (EC 1.11.1.9) (PHGPx)
Haliotis_kam_contig1478	double-strand break repair via homologous recombination	stress response	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig7071	DNA double-strand break processing	stress response	P	Histone-lysine N-methyltransferase SETMAR (SET domain and mariner transposase fusion gene-containing protein) (HsMar1) (Metnase) [Includes: Histone-lysine N-methyltransferase (EC 2.1.1.43); Mariner transposase Hsmar1 (EC 3.1.-.-)]
Haliotis_kam_contig3081	age-dependent response to oxidative stress	stress response	P	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)
Haliotis_kam_contig2936	age-dependent response to reactive oxygen species during chronological cell aging	stress response	P	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)
Haliotis_kam_contig61	"regulation of complement activation, lectin pathway"	stress response	P	Fucolectin-1
Haliotis_kam_contig535	acute inflammatory response	stress response	P	Nuclear protein 1 (Candidate of metastasis 1) (Protein p8)
Haliotis_kam_contig4342	respiratory burst during acute inflammatory response	stress response	P	Peroxiredoxin-2 (EC 1.11.1.15) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)
Haliotis_kam_contig1272	negative regulation of inflammatory response to antigenic stimulus	stress response	P	Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)
Haliotis_kam_contig4573	negative regulation of inflammatory response to antigenic stimulus	stress response	P	Proteasome subunit beta type-4 (EC 3.4.25.1) (Low molecular mass protein 3) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3)
Haliotis_kam_contig1478	DNA repair	stress response	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig2623	DNA repair	stress response	P	Ubiquitin-conjugating enzyme E2 N (EC 6.3.2.19) (Bendless-like ubiquitin-conjugating enzyme) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)
Haliotis_kam_contig2788	DNA repair	stress response	P	BRCA2 and CDKN1A-interacting protein
Haliotis_kam_contig3120	DNA repair	stress response	P	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)
Haliotis_kam_contig446	DNA repair	stress response	P	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP)
Haliotis_kam_contig5031	DNA repair	stress response	P	RuvB-like 2 (EC 3.6.4.12) (p47 protein)
Haliotis_kam_contig6419	DNA repair	stress response	P	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)
Haliotis_kam_contig6653	DNA repair	stress response	P	Aprataxin (EC 3.-.-.-) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT) (Fragment)
Haliotis_kam_contig7071	DNA repair	stress response	P	Histone-lysine N-methyltransferase SETMAR (SET domain and mariner transposase fusion gene-containing protein) (HsMar1) (Metnase) [Includes: Histone-lysine N-methyltransferase (EC 2.1.1.43); Mariner transposase Hsmar1 (EC 3.1.-.-)]
Haliotis_kam_contig760	DNA repair	stress response	P	40S ribosomal protein S3
Haliotis_kam_contig3115	"base-excision repair, gap-filling"	stress response	P	Proliferating cell nuclear antigen (PCNA) (Cyclin)
Haliotis_kam_contig933	"base-excision repair, DNA ligation"	stress response	P	High mobility group protein B2 (High mobility group protein 2) (HMG-2)
Haliotis_kam_contig3115	mismatch repair	stress response	P	Proliferating cell nuclear antigen (PCNA) (Cyclin)
Haliotis_kam_contig1478	double-strand break repair	stress response	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig6419	double-strand break repair	stress response	P	Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)
Haliotis_kam_contig1003	response to stress	stress response	P	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein)
Haliotis_kam_contig111	response to stress	stress response	P	Heat shock 70 kDa protein cognate 4 (Hsc 70-4)
Haliotis_kam_contig1113	response to stress	stress response	P	"Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)"
Haliotis_kam_contig1314	response to stress	stress response	P	Heat shock protein 70 A2
Haliotis_kam_contig1335	response to stress	stress response	P	Protein lethal(2)essential for life (Protein Efl21)
Haliotis_kam_contig1648	response to stress	stress response	P	Heat shock protein HSP 90-alpha
Haliotis_kam_contig1841	response to stress	stress response	P	Heat shock-like 85 kDa protein
Haliotis_kam_contig2244	response to stress	stress response	P	Heat shock protein 90 homolog
Haliotis_kam_contig2429	response to stress	stress response	P	"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)"
Haliotis_kam_contig2849	response to stress	stress response	P	Heat shock 70 kDa protein 1
Haliotis_kam_contig2923	response to stress	stress response	P	Heat shock protein 90
Haliotis_kam_contig4233	response to stress	stress response	P	Heat shock 70 kDa protein (HSP70) (Fragment)
Haliotis_kam_contig4409	response to stress	stress response	P	Universal stress protein Sll1388 (USP Sll1388)
Haliotis_kam_contig467	response to stress	stress response	P	RING-box protein 1 (Rbx1) (Hyperosmotic protein 21) (sHOP21)
Haliotis_kam_contig4836	response to stress	stress response	P	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa protein 3) (HSP70.3)
Haliotis_kam_contig4852	response to stress	stress response	P	Heat shock protein beta-11 (Hspb11) (Placental protein 25) (PP25)
Haliotis_kam_contig5517	response to stress	stress response	P	"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)"
Haliotis_kam_contig5604	response to stress	stress response	P	Translation initiation factor eIF-2B subunit epsilon (eIF-2B GDP-GTP exchange factor subunit epsilon)
Haliotis_kam_contig5713	response to stress	stress response	P	Heat shock protein 70 A2
Haliotis_kam_contig5793	response to stress	stress response	P	Heat shock protein HSS1
Haliotis_kam_contig6060	response to stress	stress response	P	Endoplasmin homolog (Glucose-regulated protein 94 homolog) (GRP-94 homolog) (HSP90-like protein 7) (Protein SHEPHERD)
Haliotis_kam_contig639	response to stress	stress response	P	Heat shock protein 81-3 (HSP81-3) (Gravity-specific protein GSC 381)
Haliotis_kam_contig6817	response to stress	stress response	P	Phosphatidylinositol 4-phosphate 5-kinase 1 (AtPIP5K1) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 1) (Diphosphoinositide kinase 1) (PtdIns(4)P-5-kinase 1)
Haliotis_kam_contig6968	response to stress	stress response	P	Universal stress protein Slr1101 (USP Slr1101)
Haliotis_kam_contig703	response to stress	stress response	P	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Fragment)
Haliotis_kam_contig7441	response to stress	stress response	P	Heat shock protein 83 (HSP 82) (Fragment)
Haliotis_kam_contig8247	response to stress	stress response	P	Heat shock 70 kDa protein (HSP70) (Fragment)
Haliotis_kam_contig8591	response to stress	stress response	P	Ubiquitin-conjugating enzyme E2 4 (EC 6.3.2.19) (Ubiquitin carrier protein 4) (Ubiquitin-protein ligase 4)
Haliotis_kam_contig366	defense response	stress response	P	"Lysozyme 3 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase 3) (cv-lysozyme 3)"
Haliotis_kam_contig639	defense response	stress response	P	Heat shock protein 81-3 (HSP81-3) (Gravity-specific protein GSC 381)
Haliotis_kam_contig5874	inflammatory response	stress response	P	Interleukin 17-like protein (CgIL-17)
Haliotis_kam_contig6018	inflammatory response	stress response	P	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]
Haliotis_kam_contig7314	positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria	stress response	P	Apoptosis 2 inhibitor (IAP homolog A) (IAP-like protein) (ILP) (dILP) (Inhibitor of apoptosis 2) (dIAP2)
Haliotis_kam_contig7891	positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria	stress response	P	Apoptosis 2 inhibitor (IAP homolog A) (IAP-like protein) (ILP) (dILP) (Inhibitor of apoptosis 2) (dIAP2)
Haliotis_kam_contig7688	hyperosmotic response	stress response	P	Cysteine proteinase 1 (EC 3.4.22.-)
Haliotis_kam_contig1478	response to DNA damage stimulus	stress response	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig2195	response to DNA damage stimulus	stress response	P	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (54 kDa subunit of mu particle) (Multiubiquitin chain-binding protein) (p54)
Haliotis_kam_contig2623	response to DNA damage stimulus	stress response	P	Ubiquitin-conjugating enzyme E2 N (EC 6.3.2.19) (Bendless-like ubiquitin-conjugating enzyme) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N)
Haliotis_kam_contig2788	response to DNA damage stimulus	stress response	P	BRCA2 and CDKN1A-interacting protein
Haliotis_kam_contig3120	response to DNA damage stimulus	stress response	P	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)
