contig8505_94477	response to DNA damage stimulus	stress response	P	Chromatin assembly factor 1 subunit A (CAF-1 subunit A) (Chromatin assembly factor I p150 subunit) (CAF-I 150 kDa subunit) (CAF-I p150)
contig8505_94477	DNA repair	stress response	P	Chromatin assembly factor 1 subunit A (CAF-1 subunit A) (Chromatin assembly factor I p150 subunit) (CAF-I 150 kDa subunit) (CAF-I p150)
contig207362	DNA repair	stress response	P	General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit)
contig207362	response to DNA damage stimulus	stress response	P	General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit)
contig154140	response to oxidative stress	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig159527_15833	hydrogen peroxide catabolic process	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig159527_15833	response to oxidative stress	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig154140	hydrogen peroxide catabolic process	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig180725	hydrogen peroxide catabolic process	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig180725	response to oxidative stress	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig105058	response to oxidative stress	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig105058	hydrogen peroxide catabolic process	stress response	P	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)
contig204381_204678_16272	response to unfolded protein	stress response	P	Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2]
contig204381_204678_16272	response to endoplasmic reticulum stress	stress response	P	Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2]
contig180330_76453	DNA repair	stress response	P	Cullin-4B (CUL-4B)
contig180330_76453	response to DNA damage stimulus	stress response	P	Cullin-4B (CUL-4B)
contig103138	response to stress	stress response	P	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25)
contig103138	positive regulation of JUN kinase activity	stress response	P	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25)
contig103138	positive regulation of JNK cascade	stress response	P	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25)
contig70859_157889	endoplasmic reticulum unfolded protein response	stress response	P	Vesicle-associated membrane protein-associated protein B (VAMP-B) (VAMP-associated protein B) (VAP-B)
contig79406_145891	DNA repair	stress response	P	UV excision repair protein RAD23 homolog A
contig79406_145891	nucleotide-excision repair	stress response	P	UV excision repair protein RAD23 homolog A
contig79406_145891	response to DNA damage stimulus	stress response	P	UV excision repair protein RAD23 homolog A
